"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"4474","34.945988924","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.945988924","Protected Payload (KP0), DCID=f64d68c593241874"
"4475","34.946069008","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.946069008","Protected Payload (KP0), DCID=f64d68c593241874"
"4476","34.946106459","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","101","34.946106459","Protected Payload (KP0), DCID=f64d68c593241874"
"4492","35.011848876","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","35.011848876","Protected Payload (KP0), DCID=f64d68c593241874"
"4506","35.017668649","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","35.017668649","Protected Payload (KP0), DCID=f64d68c593241874"
"4513","35.020569960","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","35.020569960","Protected Payload (KP0), DCID=f64d68c593241874"
"4520","35.020823777","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","35.020823777","Protected Payload (KP0), DCID=f64d68c593241874"
"4568","35.096338262","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4025:401::9b","QUIC","1294","35.096338262","Initial, DCID=c29aee31ae6512ca, PKN: 1, PADDING, PING, PADDING, CRYPTO, PING, PADDING, PING, PING, PADDING, PING, PING"
"4569","35.096965419","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","1294","35.096965419","Initial, DCID=379ee338ca065983, PKN: 1, PADDING, PING, PADDING, PING, PADDING, PING, PADDING, PING, PING, CRYPTO"
"4570","35.097395906","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","1294","35.097395906","Initial, DCID=f64f6fd7af1101e0, PKN: 1, PING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, PING, PADDING, CRYPTO"
